n_features,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_hidden_layer_sizes,param_learning_rate_init,param_solver,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
23,1.133570671081543,0.0,0.003001689910888672,0.0,10,0.1,sgd,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.1, 'solver': 'sgd'}",0.9598930481283423,0.9598930481283423,0.0,2
23,1.0625712871551514,0.0,0.0029997825622558594,0.0,10,0.1,adam,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.1, 'solver': 'adam'}",0.9604092526690392,0.9604092526690392,0.0,1
23,4.385149002075195,0.0,0.0020003318786621094,0.0,20,0.001,sgd,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.001, 'solver': 'sgd'}",0.9514824797843666,0.9514824797843666,0.0,21
23,2.413571834564209,0.0,0.002000570297241211,0.0,20,0.001,adam,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.001, 'solver': 'adam'}",0.9541242937853107,0.9541242937853107,0.0,18
23,1.3765757083892822,0.0,0.0029973983764648438,0.0,20,0.01,sgd,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.01, 'solver': 'sgd'}",0.9568715083798882,0.9568715083798882,0.0,11
23,1.20357084274292,0.0,0.003000020980834961,0.0,20,0.01,adam,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.01, 'solver': 'adam'}",0.9594145043246839,0.9594145043246839,0.0,5
23,1.2995572090148926,0.0,0.002000093460083008,0.0,20,0.1,sgd,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.1, 'solver': 'sgd'}",0.9593784683684795,0.9593784683684795,0.0,6
23,1.0285711288452148,0.0,0.002998828887939453,0.0,20,0.1,adam,"{'hidden_layer_sizes': 20, 'learning_rate_init': 0.1, 'solver': 'adam'}",0.9598224195338513,0.9598224195338513,0.0,3
23,2.808563709259033,0.0,0.002000093460083008,0.0,"(10, 10)",0.001,sgd,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.001, 'solver': 'sgd'}",0.9534308211473567,0.9534308211473567,0.0,20
23,1.1585659980773926,0.0,0.004000186920166016,0.0,"(10, 10)",0.001,adam,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.001, 'solver': 'adam'}",0.9546067415730336,0.9546067415730336,0.0,17
23,1.0675721168518066,0.0,0.004000186920166016,0.0,"(10, 10)",0.01,sgd,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.01, 'solver': 'sgd'}",0.9584536769606754,0.9584536769606754,0.0,7
23,0.991997480392456,0.0,0.003000974655151367,0.0,"(10, 10)",0.01,adam,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.01, 'solver': 'adam'}",0.9550891446626044,0.9550891446626044,0.0,16
23,0.5200002193450928,0.0,0.0029993057250976562,0.0,"(10, 10)",0.1,sgd,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.1, 'solver': 'sgd'}",0.0,0.0,0.0,23
23,0.5689988136291504,0.0,0.0029990673065185547,0.0,"(10, 10)",0.1,adam,"{'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.1, 'solver': 'adam'}",0.0,0.0,0.0,23
23,2.699573278427124,0.0,0.003000020980834961,0.0,"(20, 20)",0.001,sgd,"{'hidden_layer_sizes': (20, 20), 'learning_rate_init': 0.001, 'solver': 'sgd'}",0.9559748427672956,0.9559748427672956,0.0,14
23,1.4589917659759521,0.0,0.0020003318786621094,0.0,"(20, 20)",0.001,adam,"{'hidden_layer_sizes': (20, 20), 'learning_rate_init': 0.001, 'solver': 'adam'}",0.9568907750725932,0.9568907750725932,0.0,10
23,1.0379979610443115,0.0,0.0019996166229248047,0.0,"(20, 20)",0.01,sgd,"{'hidden_layer_sizes': (20, 20), 'learning_rate_init': 0.01, 'solver': 'sgd'}",0.9563456345634564,0.9563456345634564,0.0,13
23,0.9920001029968262,0.0,0.003000020980834961,0.0,"(20, 20)",0.01,adam,"{'hidden_layer_sizes': (20, 20), 'learning_rate_init': 0.01, 'solver': 'adam'}",0.9594293357111012,0.9594293357111012,0.0,4
23,1.2559998035430908,0.0,0.001999378204345703,0.0,"(20, 20)",0.1,sgd,"{'hidden_layer_sizes': (20, 20), 'learning_rate_init': 0.1, 'solver': 'sgd'}",0.9579418344519015,0.9579418344519015,0.0,8
