n_features,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_n_estimators,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
3,1.8532905578613281,0.0,0.0970008373260498,0.0,entropy,200,"{'criterion': 'entropy', 'n_estimators': 200}",0.956701030927835,0.956701030927835,0.0,9
3,3.3992817401885986,0.0,0.16700243949890137,0.0,entropy,400,"{'criterion': 'entropy', 'n_estimators': 400}",0.9574175824175825,0.9574175824175825,0.0,5
3,4.827282190322876,0.0,0.24499988555908203,0.0,entropy,600,"{'criterion': 'entropy', 'n_estimators': 600}",0.9576174112256586,0.9576174112256586,0.0,2
3,6.233290195465088,0.0,0.315997838973999,0.0,entropy,800,"{'criterion': 'entropy', 'n_estimators': 800}",0.9564619615032081,0.9564619615032081,0.0,12
3,7.5911383628845215,0.0,0.4043285846710205,0.0,entropy,1000,"{'criterion': 'entropy', 'n_estimators': 1000}",0.9569005043558002,0.9569005043558002,0.0,8
2,0.7591698169708252,0.0,0.04999804496765137,0.0,gini,100,"{'criterion': 'gini', 'n_estimators': 100}",0.9534296857077311,0.9534296857077311,0.0,10
2,1.487170934677124,0.0,0.10000085830688477,0.0,gini,200,"{'criterion': 'gini', 'n_estimators': 200}",0.9533869115958669,0.9533869115958669,0.0,11
2,2.70661997795105,0.0,0.19000005722045898,0.0,gini,400,"{'criterion': 'gini', 'n_estimators': 400}",0.9536697247706422,0.9536697247706422,0.0,8
2,3.8948802947998047,0.0,0.24699878692626953,0.0,gini,600,"{'criterion': 'gini', 'n_estimators': 600}",0.9539096537491402,0.9539096537491402,0.0,4
2,5.0498785972595215,0.0,0.3110008239746094,0.0,gini,800,"{'criterion': 'gini', 'n_estimators': 800}",0.9541494727189362,0.9541494727189362,0.0,1
2,6.1626574993133545,0.0,0.3964071273803711,0.0,gini,1000,"{'criterion': 'gini', 'n_estimators': 1000}",0.9541284403669725,0.9541284403669725,0.0,2
2,0.7771613597869873,0.0,0.0520017147064209,0.0,entropy,100,"{'criterion': 'entropy', 'n_estimators': 100}",0.9529492770254762,0.9529492770254762,0.0,12
2,1.5481667518615723,0.0,0.09900164604187012,0.0,entropy,200,"{'criterion': 'entropy', 'n_estimators': 200}",0.9536271808999082,0.9536271808999082,0.0,9
