n_features,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_p,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
15,0.1100003719329834,0.0,1.4850013256072998,0.0,10,2,"{'n_neighbors': 10, 'p': 2}",0.932896174863388,0.932896174863388,0.0,6
15,0.10800027847290039,0.0,1.947997808456421,0.0,15,1,"{'n_neighbors': 15, 'p': 1}",0.9212513484358145,0.9212513484358145,0.0,10
15,0.10299801826477051,0.0,1.6430044174194336,0.0,15,2,"{'n_neighbors': 15, 'p': 2}",0.9365454936545493,0.9365454936545493,0.0,1
15,0.12299919128417969,0.0,1.9369988441467285,0.0,20,1,"{'n_neighbors': 20, 'p': 1}",0.9200873362445415,0.9200873362445415,0.0,11
15,0.12099838256835938,0.0,1.791999340057373,0.0,20,2,"{'n_neighbors': 20, 'p': 2}",0.9346037245560849,0.9346037245560849,0.0,2
15,0.1139988899230957,0.0,1.9519999027252197,0.0,25,1,"{'n_neighbors': 25, 'p': 1}",0.9223447977503784,0.9223447977503784,0.0,8
15,0.11199331283569336,0.0,1.8859999179840088,0.0,25,2,"{'n_neighbors': 25, 'p': 2}",0.9339926897441411,0.9339926897441411,0.0,4
15,0.09699320793151855,0.0,1.8750004768371582,0.0,30,1,"{'n_neighbors': 30, 'p': 1}",0.919189719015465,0.919189719015465,0.0,12
15,0.11600041389465332,0.0,1.8699986934661865,0.0,30,2,"{'n_neighbors': 30, 'p': 2}",0.9333045542844808,0.9333045542844808,0.0,5
14,0.09600019454956055,0.0,0.7261962890625,0.0,5,1,"{'n_neighbors': 5, 'p': 1}",0.9243114291910648,0.9243114291910648,0.0,7
14,0.08900046348571777,0.0,0.7271945476531982,0.0,5,2,"{'n_neighbors': 5, 'p': 2}",0.9352051835853132,0.9352051835853132,0.0,2
14,0.10399937629699707,0.0,0.873194694519043,0.0,10,1,"{'n_neighbors': 10, 'p': 1}",0.922706371797679,0.922706371797679,0.0,10
14,0.0969998836517334,0.0,0.8291933536529541,0.0,10,2,"{'n_neighbors': 10, 'p': 2}",0.932429477367155,0.932429477367155,0.0,6
14,0.07999777793884277,0.0,0.9831933975219727,0.0,15,1,"{'n_neighbors': 15, 'p': 1}",0.9230437594309119,0.9230437594309119,0.0,8
14,0.10499978065490723,0.0,0.8621935844421387,0.0,15,2,"{'n_neighbors': 15, 'p': 2}",0.93755383290267,0.93755383290267,0.0,1
14,0.09099841117858887,0.0,1.1341922283172607,0.0,20,1,"{'n_neighbors': 20, 'p': 1}",0.919650655021834,0.919650655021834,0.0,11
14,0.10499930381774902,0.0,0.9991905689239502,0.0,20,2,"{'n_neighbors': 20, 'p': 2}",0.9349804941482445,0.9349804941482445,0.0,4
14,0.08299922943115234,0.0,1.0391929149627686,0.0,25,1,"{'n_neighbors': 25, 'p': 1}",0.9228441754916793,0.9228441754916793,0.0,9
14,0.10199952125549316,0.0,0.9991912841796875,0.0,25,2,"{'n_neighbors': 25, 'p': 2}",0.9350816852966465,0.9350816852966465,0.0,3
14,0.09599828720092773,0.0,1.110192060470581,0.0,30,1,"{'n_neighbors': 30, 'p': 1}",0.9180470793374019,0.9180470793374019,0.0,12
14,0.0839991569519043,0.0,1.06419038772583,0.0,30,2,"{'n_neighbors': 30, 'p': 2}",0.9330453563714903,0.9330453563714903,0.0,5
13,0.08299708366394043,0.0,0.8144969940185547,0.0,5,1,"{'n_neighbors': 5, 'p': 1}",0.9243114291910648,0.9243114291910648,0.0,7
13,0.08200192451477051,0.0,0.5554945468902588,0.0,5,2,"{'n_neighbors': 5, 'p': 2}",0.9343696027633852,0.9343696027633852,0.0,4
13,0.09299945831298828,0.0,0.7704954147338867,0.0,10,1,"{'n_neighbors': 10, 'p': 1}",0.9222684475585724,0.9222684475585724,0.0,10
13,0.09800267219543457,0.0,0.8194966316223145,0.0,10,2,"{'n_neighbors': 10, 'p': 2}",0.9326039387308535,0.9326039387308535,0.0,6
13,0.09799981117248535,0.0,0.8524942398071289,0.0,15,1,"{'n_neighbors': 15, 'p': 1}",0.9232427770590771,0.9232427770590771,0.0,9
13,0.0749971866607666,0.0,0.7965011596679688,0.0,15,2,"{'n_neighbors': 15, 'p': 2}",0.93755383290267,0.93755383290267,0.0,1
13,0.09700131416320801,0.0,1.08449387550354,0.0,20,1,"{'n_neighbors': 20, 'p': 1}",0.9193795062267861,0.9193795062267861,0.0,11
13,0.09999823570251465,0.0,0.9094910621643066,0.0,20,2,"{'n_neighbors': 20, 'p': 2}",0.9347496206373292,0.9347496206373292,0.0,3
13,0.08699703216552734,0.0,1.1004996299743652,0.0,25,1,"{'n_neighbors': 25, 'p': 1}",0.9232432432432433,0.9232432432432433,0.0,8
13,0.07499337196350098,0.0,0.9244956970214844,0.0,25,2,"{'n_neighbors': 25, 'p': 2}",0.9350537634408602,0.9350537634408602,0.0,2
13,0.07999587059020996,0.0,1.045494794845581,0.0,30,1,"{'n_neighbors': 30, 'p': 1}",0.9184829991281603,0.9184829991281603,0.0,12
13,0.1020042896270752,0.0,0.9314913749694824,0.0,30,2,"{'n_neighbors': 30, 'p': 2}",0.9330164217804668,0.9330164217804668,0.0,5
12,0.07599663734436035,0.0,0.5290040969848633,0.0,5,1,"{'n_neighbors': 5, 'p': 1}",0.9298623063683304,0.9298623063683304,0.0,8
12,0.08899831771850586,0.0,0.524003267288208,0.0,5,2,"{'n_neighbors': 5, 'p': 2}",0.9404915912031049,0.9404915912031049,0.0,1
12,0.08999896049499512,0.0,0.6230020523071289,0.0,10,1,"{'n_neighbors': 10, 'p': 1}",0.9310043668122271,0.9310043668122271,0.0,7
12,0.09200096130371094,0.0,0.5840003490447998,0.0,10,2,"{'n_neighbors': 10, 'p': 2}",0.938588850174216,0.938588850174216,0.0,3
12,0.08999896049499512,0.0,0.7009997367858887,0.0,15,1,"{'n_neighbors': 15, 'p': 1}",0.9292798620094869,0.9292798620094869,0.0,9
12,0.08899641036987305,0.0,0.6179990768432617,0.0,15,2,"{'n_neighbors': 15, 'p': 2}",0.9387755102040817,0.9387755102040817,0.0,2
12,0.09200024604797363,0.0,0.7519960403442383,0.0,20,1,"{'n_neighbors': 20, 'p': 1}",0.9258856770267333,0.9258856770267333,0.0,10
12,0.06799554824829102,0.0,0.7510004043579102,0.0,20,2,"{'n_neighbors': 20, 'p': 2}",0.9378506689684938,0.9378506689684938,0.0,4
12,0.08799552917480469,0.0,0.7969985008239746,0.0,25,1,"{'n_neighbors': 25, 'p': 1}",0.92470334412082,0.92470334412082,0.0,11
12,0.07799863815307617,0.0,0.690000057220459,0.0,25,2,"{'n_neighbors': 25, 'p': 2}",0.9367631296891746,0.9367631296891746,0.0,6
12,0.05899834632873535,0.0,0.8399996757507324,0.0,30,1,"{'n_neighbors': 30, 'p': 1}",0.9243149195302305,0.9243149195302305,0.0,12
12,0.06999754905700684,0.0,0.7430000305175781,0.0,30,2,"{'n_neighbors': 30, 'p': 2}",0.9369874838152784,0.9369874838152784,0.0,5
